时间,是否始发站,是否终到站
05:11,0,0
05:19,0,0
05:27,0,0
05:37,0,0
05:47,0,0
05:57,0,0
06:04,0,0
06:11,0,0
06:18,0,0
06:25,0,0
06:32,0,0
06:39,0,0
06:46,0,0
06:53,0,0
07:00,0,0
07:07,0,0
07:14,0,0
07:21,0,0
07:28,0,0
07:35,0,0
07:41,0,0
07:47,0,0
07:54,0,0
08:00,0,0
08:05,0,0
08:10,0,0
08:15,0,0
08:20,0,0
08:25,0,0
08:30,0,0
08:35,0,0
08:40,0,0
08:45,0,0
08:50,0,0
08:55,0,0
09:00,0,0
09:05,0,0
09:10,0,0
09:15,0,0
09:20,0,0
09:25,0,0
09:30,0,0
09:35,0,0
09:40,0,0
09:48,0,0
09:55,0,0
10:02,0,0
10:09,0,0
10:16,0,0
10:23,0,0
10:30,0,0
10:37,0,0
10:44,0,0
10:50,0,0
10:57,0,0
11:03,0,0
11:10,0,0
11:16,0,0
11:23,0,0
11:30,0,0
11:37,0,0
11:44,0,0
11:51,0,0
11:58,0,0
12:05,0,0
12:12,0,0
12:19,0,0
12:26,0,0
12:33,0,0
12:40,0,0
12:47,0,0
12:54,0,0
13:01,0,0
13:08,0,0
13:15,0,0
13:22,0,0
13:29,0,0
13:36,0,0
13:43,0,0
13:50,0,0
13:57,0,0
14:04,0,0
14:11,0,0
14:18,0,0
14:25,0,0
14:32,0,0
14:39,0,0
14:46,0,0
14:53,0,0
15:00,0,0
15:07,0,0
15:14,0,0
15:21,0,0
15:28,0,0
15:35,0,0
15:42,0,0
15:49,0,0
15:56,0,0
16:03,0,0
16:10,0,0
16:17,0,0
16:24,0,0
16:31,0,0
16:38,0,0
16:45,0,0
16:52,0,0
16:59,0,0
17:06,0,0
17:13,0,0
17:20,0,0
17:27,0,0
17:34,0,0
17:41,0,0
17:48,0,0
17:55,0,0
18:02,0,0
18:09,0,0
18:16,0,0
18:23,0,0
18:30,0,0
18:37,0,0
18:44,0,0
18:51,0,0
18:58,0,0
19:05,0,0
19:12,0,0
19:19,0,0
19:26,0,0
19:33,0,0
19:40,0,0
19:47,0,0
19:54,0,0
20:01,0,0
20:08,0,0
20:15,0,0
20:22,0,0
20:29,0,0
20:36,0,0
20:43,0,0
20:50,0,0
20:57,0,0
21:05,0,0
21:13,0,0
21:23,0,0
21:33,0,0
21:43,0,0
21:53,0,0
22:04,0,0
22:14,0,0
22:24,0,0
22:34,0,0
22:44,0,0
22:54,0,0
23:04,0,0
23:14,0,0
23:24,0,0
23:37,0,0
23:50,0,0
00:04,0,0
