起始站名,目的站名,距离（米）
西直门,车公庄,910
车公庄,阜成门,960
阜成门,复兴门,1833
复兴门,长椿街,1234
长椿街,宣武门,929
宣武门,和平门,851
和平门,前门,1171
前门,崇文门,1634
崇文门,北京站,1023
北京站,建国门,946
建国门,朝阳门,1736
朝阳门,东四十条,1027
东四十条,东直门,824
东直门,雍和宫,2228
雍和宫,安定门,792
安定门,鼓楼大街,1237
鼓楼大街,积水潭,1766
