起始站名,目的站名,距离（米）
天通苑,天通苑北,941
天通苑南,天通苑,964
立水桥,天通苑南,1544
立水桥南,立水桥,1306
北苑路北,立水桥南,1330
大屯路东,北苑路北,2956
惠新西街北口,大屯路东,1838
惠新西街南口,惠新西街北口,1121
和平西桥,惠新西街南口,1026
和平里北街,和平西桥,1059
雍和宫,和平里北街,1151
北新桥,雍和宫,866
张自忠路,北新桥,791
东四,张自忠路,1017
灯市口,东四,848
东单,灯市口,945
崇文门,东单,822
磁器口,崇文门,877
天坛东门,磁器口,1183
蒲黄榆,天坛东门,1900
刘家窑,蒲黄榆,905
宋家庄,刘家窑,1670
