起始站名,目的站名,距离（米）
安河桥北,北宫门,1363
北宫门,安河桥北,1363
北宫门,西苑,1251
西苑,北宫门,1251
西苑,圆明园,1672
圆明园,西苑,1672
圆明园,北京大学东门,1295
北京大学东门,圆明园,1295
北京大学东门,中关村,887
中关村,北京大学东门,887
中关村,海淀黄庄,900
海淀黄庄,中关村,900
海淀黄庄,人民大学,1063
人民大学,海淀黄庄,1063
人民大学,魏公村,1051
魏公村,人民大学,1051
魏公村,国家图书馆,1658
国家图书馆,魏公村,1658
国家图书馆,动物园,1517
动物园,国家图书馆,1517
动物园,西直门,1441
西直门,动物园,1441
西直门,新街口,1025
新街口,西直门,1025
新街口,平安里,1100
平安里,新街口,1100
平安里,西四,1100
西四,平安里,1100
西四,灵境胡同,869
灵境胡同,西四,869
灵境胡同,西单,1011
西单,灵境胡同,1011
西单,宣武门,815
宣武门,西单,815
宣武门,菜市口,1152
菜市口,宣武门,1152
菜市口,陶然亭,1200
陶然亭,菜市口,1200
陶然亭,北京南站,1643
北京南站,陶然亭,1643
北京南站,马家堡,1480
马家堡,北京南站,1480
马家堡,角门西,827
角门西,马家堡,827
角门西,公益西桥,989
公益西桥,角门西,989
