起始站名,目的站名,距离（米）
石厂,小园,1297
小园,栗园庄,1266
栗园庄,上岸,1044
上岸,桥户营,1065
桥户营,四道桥,834
四道桥,金安桥,2736
金安桥,苹果园,1419
