起始站名,目的站名,距离（米）
巴沟,火器营,1441
海淀黄庄,苏州街,950
知春里,海淀黄庄,976
知春路,知春里,1058
西土城,知春路,1102
牡丹园,西土城,1330
健德门,牡丹园,967
北土城,健德门,1100
安贞门,北土城,1020
惠新西街南口,安贞门,982
芍药居,惠新西街南口,1713
太阳宫,芍药居,1003
三元桥,太阳宫,1759
亮马桥,三元桥,1535
农业展览馆,亮马桥,914
团结湖,农业展览馆,853
呼家楼,团结湖,1150
金台夕照,呼家楼,734
国贸,金台夕照,835
双井,国贸,1760
劲松,双井,1033
潘家园,劲松,1021
十里河,潘家园,1073
分钟寺,十里河,1803
成寿寺,分钟寺,1060
宋家庄,成寿寺,1675
石榴庄,宋家庄,1273
大红门,石榴庄,1244
角门东,大红门,1124
角门西,角门东,1259
草桥,角门西,1688
纪家庙,草桥,1550
首经贸,纪家庙,1119
丰台站,首经贸,1717
泥洼,丰台站,954
西局,泥洼,749
六里桥,西局,1587
莲花桥,六里桥,2365
公主坟,莲花桥,1041
西钓鱼台,公主坟,2386
慈寿寺,西钓鱼台,1215
车道沟,慈寿寺,1591
长春桥,车道沟,1206
火器营,长春桥,778
