起始站名,目的站名,距离（米）
燕山,房山城关,2076
房山城关,燕山,2076
房山城关,饶乐府,1777
饶乐府,房山城关,1777
饶乐府,马各庄,984
马各庄,饶乐府,984
马各庄,大石河东,2087
大石河东,马各庄,2087
大石河东,星城,1929
星城,大石河东,1929
星城,阎村,1649
阎村,星城,1649
阎村,紫草坞,1210
紫草坞,阎村,1210
紫草坞,阎村东,1541
阎村东,紫草坞,1541
