起始站名,目的站名,距离（米）
育知路,朱辛庄,2319
平西府,育知路,1986
回龙观东大街,平西府,2017
霍营,回龙观东大街,1115
育新,霍营,1895
西小口,育新,1543
永泰庄,西小口,1042
林萃桥,永泰庄,2553
森林公园南门,林萃桥,2558
奥林匹克公园,森林公园南门,1017
奥体中心,奥林匹克公园,1667
北土城,奥体中心,900
安华桥,北土城,1009
安德里北街,安华桥,1275
鼓楼大街,安德里北街,1084
什刹海,鼓楼大街,1188
南锣鼓巷,什刹海,902
中国美术馆,南锣鼓巷,1437
金鱼胡同,中国美术馆,873
王府井,金鱼胡同,762
前门,王府井,1857
珠市口,前门,1085
天桥,珠市口,881
永定门外,天桥,1800
木樨园,永定门外,741
海户屯,木樨园,845
大红门南,海户屯,1678
和义,大红门南,2446
东高地,和义,1537
火箭万源,东高地,1215
五福堂,火箭万源,1684
德茂,五福堂,2076
瀛海,德茂,1510
