起始站名,目的站名,距离（米）
清华东路西口,六道口,1145
六道口,北沙滩,1337
北沙滩,奥林匹克公园,1999
奥林匹克公园,安立路,1369
安立路,大屯路东,938
大屯路东,关庄,1087
关庄,望京西,2039
望京西,望京,1759
望京,望京东,1652
望京东,崔各庄,2295
崔各庄,马泉营,2009
马泉营,孙河,3309
孙河,国展,3387
国展,花梨坎,1616
花梨坎,后沙峪,3354
后沙峪,南法信,4567
南法信,石门,2712
石门,顺义,1332
顺义,俸伯,2441
