起始站名,目的站名,距离（米）
香山,植物园,983
植物园,香山,983
植物园,万安,1733
万安,植物园,1733
万安,茶棚,1550
茶棚,万安,1550
茶棚,颐和园西门,1505
颐和园西门,茶棚,1505
颐和园西门,巴沟,2922
巴沟,颐和园西门,2922
