起始站名,目的站名,距离（米）
肖村,宋家庄,2631
小红门,肖村,1275
旧宫,小红门,2366
亦庄桥,旧宫,1982
亦庄文化园,亦庄桥,993
万源街,亦庄文化园,1538
荣京东街,万源街,1280
荣昌东街,荣京东街,1354
同济南路,荣昌东街,2338
经海路,同济南路,2265
次渠南,经海路,2086
次渠,次渠南,1281
亦庄火车站,次渠,1334
