起始站名,目的站名,距离（米）
白石桥南,国家图书馆,1096
白堆子,白石桥南,1044
军事博物馆,白堆子,1912
北京西站,军事博物馆,1398
六里桥东,北京西站,1171
六里桥,六里桥东,1309
七里庄,六里桥,1779
丰台东大街,七里庄,1326
丰台南路,丰台东大街,1585
科怡路,丰台南路,980
丰台科技园,科怡路,788
郭公庄,丰台科技园,1348
