起始站名,目的站名,距离（米）
公益西桥,新宫,2798
新宫,公益西桥,2798
新宫,西红门,5102
西红门,新宫,5102
西红门,高米店北,1810
高米店北,西红门,1810
高米店北,高米店南,1128
高米店南,高米店北,1128
高米店南,枣园,1096
枣园,高米店南,1096
枣园,清源路,1200
清源路,枣园,1200
清源路,黄村西大街,1214
黄村西大街,清源路,1214
黄村西大街,黄村火车站,987
黄村火车站,黄村西大街,987
黄村火车站,义和庄,2035
义和庄,黄村火车站,2035
义和庄,生物医药基地,2918
生物医药基地,义和庄,2918
生物医药基地,天宫院,1811
天宫院,生物医药基地,1811
