起始站名,目的站名,距离（米）
金安桥,苹果园,1438
苹果园,杨庄,839
杨庄,西黄村,1792
西黄村,廖公庄,1794
廖公庄,田村,2276
田村,海淀五路居,2140
海淀五路居,慈寿寺,1509
慈寿寺,花园桥,1431
花园桥,白石桥南,1167
白石桥南,二里沟,777
二里沟,车公庄西,888
车公庄西,车公庄,887
车公庄,平安里,1444
平安里,北海北,1322
北海北,南锣鼓巷,1349
南锣鼓巷,东四,1937
东四,朝阳门,1400
朝阳门,东大桥,1669
东大桥,呼家楼,846
呼家楼,金台路,1450
金台路,十里堡,2037
十里堡,青年路,1283
青年路,褡裢坡,3999
褡裢坡,黄渠,1239
黄渠,常营,1854
常营,草房,1407
草房,物资学院路,2115
物资学院路,通州北关,2557
通州北关,北运河西,3011
北运河西,北运河东,1600
北运河东,郝家府,929
郝家府,东夏园,1347
东夏园,潞城,1194
