起始站名,目的站名,距离（米）
北京西站,湾子,935
湾子,达官营,734
达官营,广安门内,1875
广安门内,菜市口,1373
菜市口,虎坊桥,886
虎坊桥,珠市口,1205
珠市口,桥湾,869
桥湾,磁器口,1016
磁器口,广渠门内,1138
广渠门内,广渠门外,1332
广渠门外,双井,1241
双井,九龙山,1311
九龙山,大郊亭,781
大郊亭,百子湾,865
百子湾,化工,903
化工,南楼梓庄,1465
南楼梓庄,欢乐谷景区,905
欢乐谷景区,垡头,1679
垡头,双合,1304
双合,焦化厂,1021
焦化厂,黄厂,1678
黄厂,郎辛庄,1752
郎辛庄,黑庄户,2517
黑庄户,万盛西,2961
万盛西,万盛东,2110
万盛东,群芳,1160
群芳,高楼金,1195
高楼金,花庄,1425
花庄,环球度假区,1769
